,Pass,YardsToGo,Down,2nd_and_short
317,0,10,1,False
318,0,11,2,False
319,1,10,1,False
320,1,10,2,False
321,0,5,3,False
322,1,10,1,False
323,1,3,2,True
324,1,10,1,False
325,1,9,2,False
326,1,9,3,False
327,1,10,1,False
328,1,10,2,False
329,1,10,3,False
330,1,10,1,False
331,0,10,2,False
332,1,7,3,False
333,1,10,1,False
334,1,10,1,False
335,1,10,2,False
336,0,10,3,False
337,0,2,1,False
338,1,1,2,True
339,1,1,3,False
340,0,1,4,False
341,1,10,1,False
342,1,10,2,False
343,1,6,3,False
344,1,20,1,False
345,1,20,2,False
346,0,1,3,False
347,1,10,1,False
348,1,2,2,True
349,0,2,3,False
350,1,10,1,False
351,1,10,2,False
352,1,3,3,False
353,0,10,1,False
354,1,9,2,False
355,1,10,1,False
356,1,2,2,True
357,1,2,3,False
358,1,6,1,False
359,1,6,2,False
360,1,6,3,False
361,1,10,1,False
362,0,10,1,False
363,1,9,2,False
364,1,3,3,False
365,1,10,1,False
366,1,1,2,True
367,0,10,1,False
368,1,17,2,False
369,1,17,3,False
370,1,10,1,False
371,1,10,1,False
372,1,10,1,False
373,0,8,2,False
374,1,6,3,False
375,1,10,1,False
376,1,6,2,False
377,1,10,1,False
378,1,10,1,False
379,0,2,2,True
380,1,10,1,False
381,1,10,2,False
382,1,10,3,False
383,1,10,1,False
384,1,3,2,True
385,0,10,1,False
386,0,2,2,True
387,1,10,1,False
388,1,18,2,False
389,1,16,3,False
390,0,10,1,False
391,0,4,2,True
392,1,10,1,False
393,1,10,1,False
394,1,10,1,False
395,1,10,1,False
396,1,1,2,True
397,0,1,3,False
398,0,1,4,False
399,1,25,1,False
400,1,18,2,False
401,1,16,3,False
402,0,10,1,False
403,0,5,2,False
404,1,7,3,False
405,1,10,1,False
406,1,10,1,False
407,1,9,2,False
408,0,9,3,False
409,1,15,1,False
410,0,15,2,False
411,1,7,3,False
412,0,10,1,False
413,1,8,2,False
414,1,13,3,False
415,1,10,1,False
416,0,8,2,False
417,0,6,3,False
418,0,10,1,False
419,1,13,2,False
420,1,10,1,False
421,1,5,1,False
422,1,16,1,False
423,0,10,1,False
424,1,15,1,False
425,0,3,2,True
426,0,10,1,False
427,1,9,2,False
428,1,10,1,False
429,0,1,2,True
430,0,10,1,False
431,0,2,2,True
432,1,2,3,False
433,1,10,1,False
434,1,10,2,False
435,0,10,1,False
436,1,12,2,False
437,1,12,3,False
438,1,10,1,False
439,1,5,2,False
440,1,5,3,False
441,0,10,1,False
442,0,10,1,False
443,0,1,2,True
444,1,10,1,False
445,1,10,1,False
446,0,9,1,False
447,1,16,2,False
448,0,10,1,False
449,0,4,2,True
450,0,5,3,False
451,0,10,1,False
452,0,1,2,True
453,1,10,1,False
454,0,5,2,False
455,1,10,1,False
456,1,10,1,False
457,1,10,2,False
458,1,2,3,False
459,1,2,4,False
460,0,10,1,False
461,0,6,2,False
462,1,8,1,False
463,0,10,1,False
464,0,2,2,True
465,0,10,1,False
466,1,21,2,False
467,1,6,3,False
468,1,10,1,False
469,1,10,2,False
470,1,7,3,False
471,1,10,1,False
472,0,3,2,True
473,1,10,1,False
474,1,8,2,False
475,1,8,3,False
476,0,10,1,False
477,1,8,2,False
478,1,8,3,False
479,0,10,1,False
480,0,4,2,True
481,0,10,1,False
482,0,10,1,False
483,0,10,1,False
484,1,9,2,False
485,0,12,1,False
486,1,11,2,False
487,1,11,3,False
488,0,10,1,False
489,0,10,1,False
490,0,10,1,False
491,1,8,2,False
492,0,10,1,False
493,1,7,2,False
494,1,5,1,False
495,0,5,2,False
496,0,1,3,False
497,1,20,1,False
498,1,6,3,False
499,0,10,1,False
500,0,10,1,False
501,0,10,1,False
502,1,10,2,False
503,1,10,3,False
504,0,10,1,False
505,0,9,2,False
506,1,8,3,False
507,0,10,1,False
508,0,5,2,False
509,0,1,3,False
510,1,20,1,False
511,0,20,2,False
512,1,8,3,False
513,0,10,1,False
514,0,6,2,False
515,1,4,3,False
516,1,10,1,False
517,1,10,2,False
518,0,10,1,False
519,1,9,2,False
520,0,10,1,False
521,1,10,2,False
522,1,10,3,False
523,0,10,1,False
524,0,10,1,False
525,0,5,2,False
526,1,2,3,False
527,0,10,1,False
528,0,5,2,False
529,1,4,3,False
530,1,10,1,False
531,1,10,1,False
532,0,10,1,False
533,1,6,2,False
534,0,6,3,False
535,0,10,1,False
536,0,2,1,False
537,1,1,2,True
538,1,10,1,False
539,1,10,2,False
540,1,10,3,False
541,0,10,1,False
542,1,7,2,False
543,1,2,3,False
544,1,10,1,False
545,1,10,2,False
546,1,4,3,False
547,0,10,1,False
548,1,8,2,False
549,0,4,3,False
550,1,10,1,False
551,0,10,2,False
552,0,17,3,False
553,1,10,1,False
554,0,1,2,True
555,1,1,3,False
556,1,10,1,False
557,1,3,2,True
558,0,10,1,False
559,0,10,1,False
560,0,13,2,False
561,1,9,3,False
562,0,7,1,False
563,0,1,1,False
564,0,1,2,True
565,1,10,1,False
566,1,10,2,False
567,0,10,1,False
568,0,6,2,False
569,1,10,1,False
570,0,4,2,True
571,1,10,1,False
572,1,10,1,False
573,0,4,2,True
574,1,4,3,False
575,1,10,1,False
576,1,10,1,False
577,0,9,2,False
578,0,6,1,False
579,1,5,2,False
580,1,10,1,False
581,1,10,2,False
582,1,10,3,False
583,1,10,4,False
584,1,10,1,False
585,1,3,2,True
586,1,10,1,False
587,1,10,2,False
588,1,10,1,False
589,1,10,2,False
590,0,1,3,False
591,0,10,1,False
592,1,8,2,False
593,0,10,1,False
594,1,14,2,False
595,1,7,3,False
596,0,10,1,False
597,1,9,2,False
598,1,10,1,False
599,0,10,2,False
600,1,7,3,False
601,1,10,1,False
602,1,10,1,False
603,0,7,2,False
604,1,9,3,False
605,0,10,1,False
606,1,10,2,False
607,0,10,3,False
608,1,10,1,False
609,1,1,2,True
610,0,1,3,False
611,1,10,1,False
612,1,10,2,False
613,1,10,1,False
614,1,10,2,False
615,1,10,1,False
616,1,10,2,False
617,1,10,1,False
618,1,10,1,False
619,1,10,2,False
620,1,10,3,False
621,1,5,1,False
622,1,10,1,False
623,0,10,2,False
624,1,6,3,False
625,1,10,1,False
626,0,10,2,False
627,1,5,3,False
628,1,10,1,False
629,1,1,2,True
630,0,10,1,False
631,1,7,2,False
632,1,7,3,False
633,1,10,1,False
634,1,10,2,False
635,0,15,3,False
636,0,10,1,False
637,0,3,2,True
638,0,10,1,False
639,0,9,2,False
640,1,7,3,False
641,1,10,1,False
642,1,10,1,False
643,0,10,1,False
644,1,20,1,False
645,0,20,2,False
646,1,15,3,False
647,0,10,1,False
648,0,5,2,False
649,0,3,3,False
650,1,10,1,False
651,1,6,2,False
652,1,10,1,False
653,1,10,1,False
654,1,10,1,False
655,1,10,2,False
656,1,10,3,False
657,0,10,1,False
658,1,14,2,False
659,0,10,1,False
660,1,8,2,False
661,1,10,1,False
662,1,9,2,False
663,1,9,3,False
664,0,5,1,False
665,1,4,2,True
666,1,4,3,False
667,1,10,1,False
668,1,10,2,False
669,1,5,3,False
670,0,10,1,False
671,0,8,2,False
672,0,10,1,False
673,0,5,2,False
674,0,3,3,False
675,1,3,4,False
676,0,10,1,False
677,1,10,1,False
678,1,10,1,False
679,0,10,2,False
680,1,10,3,False
681,0,10,1,False
682,0,1,2,True
683,0,2,3,False
684,0,10,1,False
685,1,7,2,False
686,0,10,1,False
687,1,8,2,False
688,1,8,3,False
689,1,10,1,False
690,0,10,2,False
691,1,8,3,False
692,1,20,1,False
693,1,11,2,False
694,1,20,3,False
695,1,10,1,False
696,1,10,2,False
697,1,15,3,False
698,0,10,1,False
699,1,9,2,False
700,1,10,1,False
701,1,10,2,False
702,1,10,3,False
703,1,10,1,False
704,1,10,1,False
705,1,10,2,False
706,1,10,1,False
707,1,10,1,False
708,0,10,2,False
709,1,17,3,False
710,0,10,1,False
711,0,5,2,False
712,0,10,1,False
713,0,4,2,True
714,1,11,3,False
715,0,10,1,False
716,1,10,1,False
717,1,10,2,False
718,0,13,3,False
719,0,10,1,False
720,1,6,2,False
721,0,10,1,False
722,1,9,2,False
723,1,9,3,False
724,1,10,1,False
725,1,10,2,False
726,0,6,1,False
727,1,4,2,True
728,0,10,1,False
729,0,10,1,False
730,0,7,2,False
731,0,10,1,False
732,1,12,2,False
733,0,1,3,False
734,0,10,1,False
735,1,10,1,False
736,1,10,1,False
737,1,10,2,False
738,1,8,3,False
739,0,10,1,False
740,0,4,2,True
741,0,10,1,False
742,0,13,2,False
743,1,5,3,False
744,0,5,1,False
745,0,10,1,False
746,1,6,2,False
747,0,1,3,False
748,1,10,1,False
749,0,10,2,False
750,1,9,3,False
751,1,10,1,False
752,1,4,2,True
753,1,10,1,False
754,1,10,2,False
755,1,2,3,False
756,0,1,1,False
757,1,5,2,False
758,1,5,3,False
759,1,20,1,False
760,1,20,2,False
761,1,12,3,False
762,1,17,2,False
763,0,17,3,False
764,0,10,1,False
765,0,6,2,False
766,1,3,3,False
767,1,10,1,False
768,1,10,1,False
769,1,10,2,False
770,1,10,3,False
771,1,10,1,False
772,1,10,1,False
773,1,10,2,False
774,1,10,1,False
775,1,10,2,False
776,1,10,1,False
777,1,2,2,True
778,1,10,1,False
779,1,10,2,False
780,1,10,1,False
781,1,10,2,False
782,1,10,3,False
783,1,12,4,False
784,1,10,1,False
785,1,1,2,True
786,0,1,1,False
787,1,10,1,False
788,1,10,2,False
789,1,10,3,False
790,0,10,1,False
791,1,10,2,False
792,1,10,3,False
793,0,10,1,False
794,0,8,2,False
795,1,10,3,False
796,1,10,1,False
797,0,7,1,False
798,1,11,2,False
799,0,10,1,False
800,0,5,2,False
801,0,10,1,False
802,1,2,2,True
803,1,10,1,False
804,0,10,2,False
805,1,3,3,False
806,0,10,1,False
807,1,8,2,False
808,0,8,3,False
809,1,10,1,False
810,0,4,2,True
811,0,10,1,False
812,1,4,2,True
813,0,4,3,False
814,0,10,1,False
815,1,16,2,False
816,1,9,3,False
817,0,10,1,False
818,1,9,2,False
819,1,4,3,False
820,1,10,1,False
821,0,10,1,False
822,1,9,2,False
823,1,9,3,False
824,1,1,1,False
825,1,10,1,False
826,0,10,1,False
827,1,5,2,False
828,1,10,1,False
829,1,10,2,False
830,1,3,3,False
831,0,10,1,False
832,1,11,2,False
833,1,3,3,False
834,0,10,1,False
835,1,11,2,False
836,0,3,3,False
837,0,10,1,False
838,1,10,1,False
839,0,7,2,False
840,0,7,3,False
841,1,7,1,False
842,0,3,2,True
843,0,2,3,False
844,0,10,1,False
845,1,25,2,False
846,0,10,1,False
847,0,10,1,False
848,0,11,2,False
849,1,21,3,False
850,0,10,1,False
851,0,9,2,False
852,0,8,3,False
853,0,10,1,False
854,0,11,2,False
855,0,12,3,False
856,0,10,1,False
857,1,11,2,False
858,1,5,3,False
859,0,10,1,False
860,1,11,2,False
861,0,1,3,False
862,0,10,1,False
863,1,9,2,False
864,1,10,1,False
865,1,7,2,False
866,1,3,3,False
867,1,10,1,False
868,0,1,2,True
869,1,10,1,False
870,1,15,2,False
871,0,15,3,False
872,1,10,1,False
873,1,10,2,False
874,0,10,1,False
875,0,2,2,True
876,1,8,3,False
877,0,10,1,False
878,0,10,1,False
879,1,8,2,False
880,0,8,3,False
881,1,10,1,False
882,1,4,2,True
883,1,10,1,False
884,1,12,2,False
885,1,9,3,False
886,0,10,1,False
887,1,4,2,True
888,1,4,3,False
889,1,10,1,False
890,1,10,2,False
891,1,10,3,False
892,0,10,1,False
893,0,6,2,False
894,0,1,3,False
895,0,10,1,False
896,0,5,2,False
897,0,2,3,False
898,0,10,1,False
899,1,8,2,False
900,1,10,1,False
901,0,10,1,False
902,0,7,2,False
903,1,14,3,False
904,0,10,1,False
905,0,6,2,False
906,1,16,3,False
907,1,10,1,False
908,1,10,2,False
909,0,10,1,False
910,1,10,2,False
911,1,3,3,False
912,0,10,1,False
913,1,6,2,False
914,1,6,3,False
915,0,10,1,False
916,0,8,2,False
917,0,7,3,False
918,1,10,1,False
919,1,6,2,False
920,0,10,1,False
921,1,7,2,False
922,0,1,3,False
923,0,10,1,False
924,1,8,2,False
925,1,3,3,False
926,0,10,1,False
927,0,4,2,True
928,0,10,1,False
929,1,11,2,False
930,1,10,1,False
931,0,10,2,False
932,0,1,3,False
933,1,1,4,False
934,0,10,1,False
935,0,5,2,False
936,1,3,3,False
937,0,10,1,False
938,0,10,1,False
939,1,8,2,False
940,1,10,1,False
941,0,10,1,False
942,1,7,2,False
943,1,10,1,False
944,1,10,1,False
945,1,10,1,False
946,0,10,1,False
947,1,7,2,False
948,0,10,1,False
949,0,9,2,False
950,1,10,1,False
951,0,7,2,False
952,1,12,3,False
953,1,10,1,False
954,0,6,2,False
955,1,5,3,False
956,1,10,1,False
957,0,10,1,False
958,1,7,2,False
959,1,7,3,False
960,1,10,1,False
961,1,9,2,False
962,0,10,1,False
963,0,3,2,True
964,1,1,3,False
965,1,1,4,False
966,0,10,1,False
967,1,13,2,False
968,1,9,3,False
969,1,9,4,False
970,1,9,1,False
971,0,10,1,False
972,0,10,1,False
973,0,7,2,False
974,1,8,3,False
975,0,10,1,False
976,0,4,2,True
977,0,2,3,False
978,0,10,1,False
979,0,11,2,False
980,0,8,3,False
981,0,10,1,False
982,1,15,2,False
983,0,10,1,False
984,0,5,2,False
985,0,10,1,False
986,0,3,2,True
987,0,1,3,False
988,0,10,1,False
989,0,9,2,False
990,1,10,1,False
991,0,10,1,False
992,0,6,2,False
993,0,10,1,False
994,1,9,2,False
995,0,14,3,False
996,0,10,1,False
997,1,10,1,False
998,0,6,2,False
999,1,4,3,False
1000,0,2,1,False
1001,1,10,1,False
1002,1,10,2,False
1003,1,10,3,False
1004,1,10,1,False
1005,1,10,2,False
1006,1,10,1,False
1007,1,10,2,False
1008,1,11,3,False
1009,0,10,1,False
1010,1,8,2,False
1011,1,13,3,False
1012,1,10,1,False
1013,0,2,2,True
1014,1,1,3,False
1015,1,10,1,False
1016,0,10,2,False
1017,1,10,3,False
1018,0,10,1,False
1019,0,15,2,False
1020,0,14,3,False
1021,1,10,1,False
1022,1,10,2,False
1023,1,4,3,False
1024,1,4,4,False
